" """"",Channel A Last (mV),Channel A Ave. (mV),Channel A Min. (mV),Channel A Max. (mV)
00:06:21,53.255,53.255,53.255,53.255
00:06:22,41.301,41.301,41.301,41.301
00:06:23,64.34,64.34,64.34,64.34
00:06:24,49.959,49.959,49.959,49.959
00:06:25,53.355,53.355,53.355,53.355
00:06:26,34.794,34.794,34.794,34.794
00:06:27,58.124,58.124,58.124,58.124
00:06:28,56.139,56.139,56.139,56.139
00:06:29,70.13,70.13,70.13,70.13
00:06:30,47.366,47.366,47.366,47.366
00:06:31,44.915,44.915,44.915,44.915
00:06:32,37.743,37.743,37.743,37.743
00:06:33,59.882,59.882,59.882,59.882
00:06:34,46.753,46.753,46.753,46.753
00:06:35,57.711,57.711,57.711,57.711
00:06:36,49.344,49.344,49.344,49.344
00:06:37,51.33,51.33,51.33,51.33
00:06:38,39.298,39.298,39.298,39.298
00:06:39,39.371,39.371,39.371,39.371
00:06:40,33.358,33.358,33.358,33.358
00:06:41,48.873,48.873,48.873,48.873
00:06:42,45.122,45.122,45.122,45.122
00:06:43,42.518,42.518,42.518,42.518
00:06:44,33.083,33.083,33.083,33.083
00:06:45,49.744,49.744,49.744,49.744
00:06:46,54.379,54.379,54.379,54.379
00:06:47,37.601,37.601,37.601,37.601
00:06:48,45.707,45.707,45.707,45.707
00:06:49,53.355,53.355,53.355,53.355
00:06:50,49.976,49.976,49.976,49.976
00:06:51,42.272,42.272,42.272,42.272
00:06:52,47.719,47.719,47.719,47.719
00:06:53,40.602,40.602,40.602,40.602
00:06:54,47.911,47.911,47.911,47.911
00:06:55,44.283,44.283,44.283,44.283
00:06:56,40.762,40.762,40.762,40.762
00:06:57,54.268,54.268,54.268,54.268
00:06:58,51.675,51.675,51.675,51.675
00:06:59,54.444,54.444,54.444,54.444
00:07:00,72.118,72.118,72.118,72.118
00:07:01,43.782,43.782,43.782,43.782
00:07:02,58.946,58.946,58.946,58.946
00:07:03,44.293,44.293,44.293,44.293
00:07:04,60.863,60.863,60.863,60.863
00:07:05,37.171,37.171,37.171,37.171
00:07:06,58.491,58.491,58.491,58.491
00:07:07,38.266,38.266,38.266,38.266
00:07:08,63.622,63.622,63.622,63.622
00:07:09,40.966,40.966,40.966,40.966
00:07:10,61.951,61.951,61.951,61.951
00:07:11,50.971,50.971,50.971,50.971
00:07:12,57.4,57.4,57.4,57.4
00:07:13,41.378,41.378,41.378,41.378
00:07:14,53.139,53.139,53.139,53.139
00:07:15,34.723,34.723,34.723,34.723
00:07:16,56.139,56.139,56.139,56.139
00:07:17,38.141,38.141,38.141,38.141
00:07:18,54.989,54.989,54.989,54.989
00:07:19,41.752,41.752,41.752,41.752
00:07:20,54.349,54.349,54.349,54.349
00:07:21,41.169,41.169,41.169,41.169
00:07:22,54.136,54.136,54.136,54.136
00:07:23,38.111,38.111,38.111,38.111
00:07:24,61.363,61.363,61.363,61.363
00:07:25,45.291,45.291,45.291,45.291
00:07:26,64.56,64.56,64.56,64.56
00:07:27,47.984,47.984,47.984,47.984
00:07:28,60.863,60.863,60.863,60.863
00:07:29,43.366,43.366,43.366,43.366
00:07:30,45.122,45.122,45.122,45.122
00:07:31,53.148,53.148,53.148,53.148
00:07:32,40.889,40.889,40.889,40.889
00:07:33,38.04,38.04,38.04,38.04
00:07:34,39.236,39.236,39.236,39.236
00:07:35,46.793,46.793,46.793,46.793
00:07:36,46.77,46.77,46.77,46.77
00:07:37,54.444,54.444,54.444,54.444
00:07:38,47.446,47.446,47.446,47.446
00:07:39,33.214,33.214,33.214,33.214
00:07:40,40.233,40.233,40.233,40.233
00:07:41,45.523,45.523,45.523,45.523
00:07:42,39.744,39.744,39.744,39.744
00:07:43,48.711,48.711,48.711,48.711
00:07:44,34.723,34.723,34.723,34.723
00:07:45,49.59,49.59,49.59,49.59
00:07:46,47.984,47.984,47.984,47.984
00:07:47,59.344,59.344,59.344,59.344
00:07:48,32.896,32.896,32.896,32.896
00:07:49,45.291,45.291,45.291,45.291
00:07:50,35.555,35.555,35.555,35.555
00:07:51,50.938,50.938,50.938,50.938
00:07:52,33.358,33.358,33.358,33.358
00:07:53,37.155,37.155,37.155,37.155
00:07:54,45.062,45.062,45.062,45.062
00:07:55,39.521,39.521,39.521,39.521
00:07:56,55.719,55.719,55.719,55.719
00:07:57,43.28,43.28,43.28,43.28
00:07:58,41.722,41.722,41.722,41.722
00:07:59,45.531,45.531,45.531,45.531
00:08:00,28.154,28.154,28.154,28.154
00:08:01,42.954,42.954,42.954,42.954
00:08:02,40.73,40.73,40.73,40.73
00:08:03,49.344,49.344,49.344,49.344
00:08:04,42.94,42.94,42.94,42.94
00:08:05,41.21,41.21,41.21,41.21
00:08:06,41.709,41.709,41.709,41.709
00:08:07,54.8,54.8,54.8,54.8
00:08:08,42.947,42.947,42.947,42.947
00:08:09,45.326,45.326,45.326,45.326
00:08:10,41.21,41.21,41.21,41.21
00:08:11,43.577,43.577,43.577,43.577
00:08:12,51.098,51.098,51.098,51.098
00:08:13,33.81,33.81,33.81,33.81
00:08:14,56.061,56.061,56.061,56.061
00:08:15,54.947,54.947,54.947,54.947
00:08:16,58.173,58.173,58.173,58.173
00:08:17,49.085,49.085,49.085,49.085
00:08:18,70.366,70.366,70.366,70.366
00:08:19,46.454,46.454,46.454,46.454
00:08:20,50.163,50.163,50.163,50.163
00:08:21,48.703,48.703,48.703,48.703
00:08:22,67.901,67.901,67.901,67.901
00:08:23,34.148,34.148,34.148,34.148
00:08:24,50.677,50.677,50.677,50.677
00:08:25,44.822,44.822,44.822,44.822
00:08:26,50.357,50.357,50.357,50.357
00:08:27,51.171,51.171,51.171,51.171
00:08:28,50.097,50.097,50.097,50.097
00:08:29,44.644,44.644,44.644,44.644
00:08:30,56.028,56.028,56.028,56.028
00:08:31,46.654,46.654,46.654,46.654
00:08:32,60.309,60.309,60.309,60.309
00:08:33,53.675,53.675,53.675,53.675
00:08:34,42.927,42.927,42.927,42.927
00:08:35,46.067,46.067,46.067,46.067
00:08:36,59.244,59.244,59.244,59.244
00:08:37,44.775,44.775,44.775,44.775
00:08:38,41.747,41.747,41.747,41.747
00:08:39,68.683,68.683,68.683,68.683
00:08:40,58.849,58.849,58.849,58.849
00:08:41,64.629,64.629,64.629,64.629
00:08:42,46.566,46.566,46.566,46.566
00:08:43,63.347,63.347,63.347,63.347
00:08:44,46.216,46.216,46.216,46.216
00:08:45,61.555,61.555,61.555,61.555
00:08:46,44.177,44.177,44.177,44.177
00:08:47,78.645,78.645,78.645,78.645
00:08:48,53.493,53.493,53.493,53.493
00:08:49,51.67,51.67,51.67,51.67
00:08:50,42.952,42.952,42.952,42.952
00:08:51,54.826,54.826,54.826,54.826
00:08:52,58.446,58.446,58.446,58.446
00:08:53,63.532,63.532,63.532,63.532
00:08:54,46.69,46.69,46.69,46.69
00:08:55,68.871,68.871,68.871,68.871
00:08:56,47.516,47.516,47.516,47.516
00:08:57,50.097,50.097,50.097,50.097
00:08:58,60.098,60.098,60.098,60.098
00:08:59,64.12,64.12,64.12,64.12
00:09:00,57.762,57.762,57.762,57.762
00:09:01,57.568,57.568,57.568,57.568
00:09:02,48.904,48.904,48.904,48.904
00:09:03,66.966,66.966,66.966,66.966
00:09:04,62.908,62.908,62.908,62.908
00:09:05,53.994,53.994,53.994,53.994
00:09:06,58.984,58.984,58.984,58.984
00:09:07,46.454,46.454,46.454,46.454
00:09:08,63.822,63.822,63.822,63.822
00:09:09,44.644,44.644,44.644,44.644
00:09:10,60.538,60.538,60.538,60.538
00:09:11,45.531,45.531,45.531,45.531
00:09:12,53.493,53.493,53.493,53.493
00:09:13,44.822,44.822,44.822,44.822
00:09:14,47.395,47.395,47.395,47.395
00:09:15,32.896,32.896,32.896,32.896
00:09:16,57.254,57.254,57.254,57.254
00:09:17,36.059,36.059,36.059,36.059
00:09:18,44.822,44.822,44.822,44.822
00:09:19,52.579,52.579,52.579,52.579
00:09:20,56.654,56.654,56.654,56.654
00:09:21,40.555,40.555,40.555,40.555
00:09:22,42.927,42.927,42.927,42.927
00:09:23,51.047,51.047,51.047,51.047
00:09:24,47.395,47.395,47.395,47.395
00:09:25,53.912,53.912,53.912,53.912
00:09:26,47.711,47.711,47.711,47.711
00:09:27,48.078,48.078,48.078,48.078
00:09:28,50.056,50.056,50.056,50.056
00:09:29,65.447,65.447,65.447,65.447
00:09:30,49.67,49.67,49.67,49.67
00:09:31,45.046,45.046,45.046,45.046
00:09:32,57.22,57.22,57.22,57.22
00:09:33,53.81,53.81,53.81,53.81
00:09:34,64.754,64.754,64.754,64.754
00:09:35,41.815,41.815,41.815,41.815
00:09:36,65.908,65.908,65.908,65.908
00:09:37,43.89,43.89,43.89,43.89
00:09:38,45.957,45.957,45.957,45.957
00:09:39,57.965,57.965,57.965,57.965
00:09:40,63.922,63.922,63.922,63.922
00:09:41,60.471,60.471,60.471,60.471
00:09:42,59.421,59.421,59.421,59.421
00:09:43,65.872,65.872,65.872,65.872
00:09:44,45.364,45.364,45.364,45.364
00:09:45,42.615,42.615,42.615,42.615
00:09:46,29.19,29.19,29.19,29.19
00:09:47,40.714,40.714,40.714,40.714
00:09:48,35.234,35.234,35.234,35.234
00:09:49,70.567,70.567,70.567,70.567
00:09:50,71.025,71.025,71.025,71.025
00:09:51,53.439,53.439,53.439,53.439
00:09:52,42.266,42.266,42.266,42.266
00:09:53,40.016,40.016,40.016,40.016
00:09:54,66.966,66.966,66.966,66.966
00:09:55,234.382,234.382,234.382,234.382
00:09:56,63.659,63.659,63.659,63.659
00:09:57,37.143,37.143,37.143,37.143
00:09:58,59.072,59.072,59.072,59.072
00:09:59,44.644,44.644,44.644,44.644
00:10:00,0.0,0.0,0.0,0.0
00:10:01,42.915,42.915,42.915,42.915
00:10:02,53.617,53.617,53.617,53.617
00:10:03,63.006,63.006,63.006,63.006
00:10:04,99.435,99.435,99.435,99.435
00:10:05,49.064,49.064,49.064,49.064
00:10:06,57.22,57.22,57.22,57.22
00:10:07,39.83,39.83,39.83,39.83
00:10:08,68.046,68.046,68.046,68.046
00:10:09,56.82,56.82,56.82,56.82
00:10:10,55.805,55.805,55.805,55.805
00:10:11,62.722,62.722,62.722,62.722
00:10:12,44.425,44.425,44.425,44.425
00:10:13,30.243,30.243,30.243,30.243
00:10:14,71.025,71.025,71.025,71.025
00:10:15,41.876,41.876,41.876,41.876
00:10:16,51.231,51.231,51.231,51.231
00:10:17,57.166,57.166,57.166,57.166
00:10:18,37.204,37.204,37.204,37.204
00:10:19,78.127,78.127,78.127,78.127
00:10:20,50.156,50.156,50.156,50.156
00:10:21,44.827,44.827,44.827,44.827
00:10:22,57.166,57.166,57.166,57.166
00:10:23,55.805,55.805,55.805,55.805
00:10:24,0.0,0.0,0.0,0.0
00:10:25,58.32,58.32,58.32,58.32
00:10:26,52.085,52.085,52.085,52.085
