type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 0, 2024-05-19T18:45:06.447208881,  26.518915,  87.566038, -17007,    0,   9,   0,   1, 2024-05-19T18:45:06.447208881, 2024-05-19T18:45:06.447208881, 0.000000,  26.518915,  26.518915,  87.566038,  87.566038  
 1, 2024-05-19T18:45:08.076580524,  26.525221,  87.561418,  -6606, 11029,   7,   1,   0, 2024-05-19T18:45:08.076580524, 2024-05-19T18:45:08.076580524, 0.000000,  26.525221,  26.525221,  87.561418,  87.561418  
 1, 2024-05-19T18:45:09.648504496,  26.524150,  87.656147,   4667, 4277,   8,   1,   0, 2024-05-19T18:45:09.648504496, 2024-05-19T18:45:09.648504496, 0.000000,  26.524150,  26.524150,  87.656147,  87.656147  
 1, 2024-05-19T18:45:11.092213392,  26.483963,  87.530313,   4547, 12822,   7,   1,   0, 2024-05-19T18:45:11.092213392, 2024-05-19T18:45:11.092213392, 0.000000,  26.483963,  26.483963,  87.530313,  87.530313  
 1, 2024-05-19T18:45:12.016643763,  26.505992,  87.674036,   4332, 3327,   8,   2,   0, 2024-05-19T18:45:12.002553940, 2024-05-19T18:45:12.016643763, 0.014090,  26.478651,  26.505992,  87.660870,  87.674036  
 1, 2024-05-19T18:45:15.995797157,  26.454872,  87.518413,   1847, 14713,   5,   1,   0, 2024-05-19T18:45:15.995797157, 2024-05-19T18:45:15.995797157, 0.000000,  26.454872,  26.454872,  87.518413,  87.518413  
 1, 2024-05-19T18:45:16.051710129,  26.521616,  87.631829,   2400, 3677,   5,   1,   0, 2024-05-19T18:45:16.051710129, 2024-05-19T18:45:16.051710129, 0.000000,  26.521616,  26.521616,  87.631829,  87.631829  
 0, 2024-05-19T18:45:16.939732790,  26.400749,  87.829653, -11875,    0,  12,   0,   1, 2024-05-19T18:45:16.939732790, 2024-05-19T18:45:16.939732790, 0.000000,  26.400749,  26.400749,  87.829653,  87.829653  
 0, 2024-05-19T18:45:17.196550131,  26.514397,  87.141617,  -6230,    0,   9,   0,   1, 2024-05-19T18:45:17.196550131, 2024-05-19T18:45:17.196550131, 0.000000,  26.514397,  26.514397,  87.141617,  87.141617  
 1, 2024-05-19T18:45:19.373477697,  26.488796,  87.606192,  -5553, 4458,   6,   1,   0, 2024-05-19T18:45:19.373477697, 2024-05-19T18:45:19.373477697, 0.000000,  26.488796,  26.488796,  87.606192,  87.606192  
 1, 2024-05-19T18:45:20.776582003,  26.506436,  87.658662,   5566, 13788,   5,   1,   0, 2024-05-19T18:45:20.776582003, 2024-05-19T18:45:20.776582003, 0.000000,  26.506436,  26.506436,  87.658662,  87.658662  
 1, 2024-05-19T18:45:20.404661894,  26.482124,  87.545402,   6908, 6472,   8,   2,   0, 2024-05-19T18:45:20.404661894, 2024-05-19T18:45:20.591309309, 0.186647,  26.482124,  26.490305,  87.545402,  87.550890  
 0, 2024-05-19T18:45:22.178234339,  26.518578,  87.666103,  -4393,    0,   6,   1,   1, 2024-05-19T18:45:22.178234339, 2024-05-19T18:45:22.184556484, 0.006322,  26.506412,  26.518578,  87.666103,  87.718624  
